Event Name,Event Type,Date,Time,Event URL,Venue Name,City,State,Country,Min Price,Max Price,Currency,Genre,Image URL
The Bootleg Beatles,event,2024-12-05,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-birmingham-05-12-2024/event/1F006041DE566E0B,Symphony Hall,Birmingham,N/A,Great Britain,33.5,42.5,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-06,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-york-06-12-2024/event/3600603DDAA2499A,York Barbican,York,N/A,Great Britain,0.0,0.0,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-07,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-leicester-07-12-2024/event/1F006039CDC32786,De Montfort Hall,Leicester,N/A,Great Britain,33.5,42.5,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-08,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-liverpool-08-12-2024/event/1F006041D66F6D69,Liverpool Philharmonic Hall,Liverpool,N/A,Great Britain,33.5,42.5,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-10,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-manchester-10-12-2024/event/1F0060458ED111C7,Bridgewater Hall,Manchester,N/A,Great Britain,41.05,51.4,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-11,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-glasgow-11-12-2024/event/36006045A02C22FD,Glasgow Royal Concert Hall,Glasgow,N/A,Great Britain,33.5,42.5,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-14,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-nottingham-14-12-2024/event/1F00602FB2D1408D,Royal Concert Hall Nottingham,Nottingham,N/A,Great Britain,36.5,42.5,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-16,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-edinburgh-16-12-2024/event/36006041EEE38508,Usher Hall,Edinburgh,N/A,Great Britain,33.5,42.5,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-17,19:30:00,https://www.ticketmaster.co.uk/the-bootleg-beatles-sheffield-17-12-2024/event/3500602BC45A2242,Sheffield City Hall Oval Hall,Sheffield,N/A,Great Britain,33.5,42.5,GBP,Undefined,https://s1.ticketm.net/dam/a/1aa/786c514e-3711-4d2e-bb17-24cac793c1aa_RECOMENDATION_16_9.jpg
The Bootleg Beatles,event,2024-12-17,18:30:00,N/A,Sheffield City Hall Oval Hall,Sheffield,N/A,Gbr,N/A,N/A,N/A,N/A,https://s1.ticketm.net/dam/c/8cf/a6653880-7899-4f67-8067-1f95f4d158cf_124761_RETINA_LANDSCAPE_16_9.jpg
